M	d	Method	asymp_opt_power	Trial	Value
2	1898	Weighted Stack-SVD	0.13791891932487488	5	0.2542329915985877
2	1898	Weighted Stack-SVD	0.13791891932487488	6	0.04935414454907514
2	1898	Weighted Stack-SVD	0.13791891932487488	7	0.15312706574199178
2	1898	Weighted Stack-SVD	0.13791891932487488	8	0.16226790036815453
2	1898	Weighted Stack-SVD	0.13791891932487488	9	0.1380937151141984
2	1898	Weighted Stack-SVD	0.13791891932487488	10	0.14300705175701275
2	1898	Weighted Stack-SVD	0.13791891932487488	11	0.19508681375770104
2	1898	Weighted Stack-SVD	0.13791891932487488	12	0.04021176100008287
2	1898	Weighted Stack-SVD	0.13791891932487488	13	0.1410262247656339
2	1898	Weighted Stack-SVD	0.13791891932487488	14	0.061619315338300056
2	1898	Weighted Stack-SVD	0.13791891932487488	15	0.19350740516763099
2	1898	Weighted Stack-SVD	0.13791891932487488	16	0.24227454085808278
2	1898	Weighted Stack-SVD	0.13791891932487488	17	0.10645303284597421
2	1898	Weighted Stack-SVD	0.13791891932487488	18	0.12301642019357813
2	1898	Weighted Stack-SVD	0.13791891932487488	19	0.009650327157295564
2	1898	Weighted Stack-SVD	0.13791891932487488	20	0.00345716227367706
2	1898	Weighted Stack-SVD	0.13791891932487488	21	0.08856207763772297
2	1898	Weighted Stack-SVD	0.13791891932487488	22	0.17020453297873986
2	1898	Weighted Stack-SVD	0.13791891932487488	23	0.11337691870756758
2	1898	Weighted Stack-SVD	0.13791891932487488	24	0.10486644493025249
2	1898	Weighted Stack-SVD	0.13791891932487488	25	0.1385791479637137
2	1898	Weighted Stack-SVD	0.13791891932487488	26	0.12357008670915652
2	1898	Weighted Stack-SVD	0.13791891932487488	27	0.20916043644791987
2	1898	Weighted Stack-SVD	0.13791891932487488	28	0.1201560431515364
2	1898	Weighted Stack-SVD	0.13791891932487488	29	0.14408857303282377
2	1898	Weighted Stack-SVD	0.13791891932487488	30	0.1830480403071586
2	1898	Weighted Stack-SVD	0.13791891932487488	31	0.09120750096830575
2	1898	Weighted Stack-SVD	0.13791891932487488	32	0.0486569150293957
2	1898	Weighted Stack-SVD	0.13791891932487488	33	0.23944778604603384
2	1898	Weighted Stack-SVD	0.13791891932487488	34	0.203674517057675
2	1898	Weighted Stack-SVD	0.13791891932487488	35	0.19423737630938
2	1898	Weighted Stack-SVD	0.13791891932487488	36	0.14782283185190284
2	1898	Weighted Stack-SVD	0.13791891932487488	37	0.13741602691491858
2	1898	Weighted Stack-SVD	0.13791891932487488	38	0.06807516396702644
2	1898	Weighted Stack-SVD	0.13791891932487488	39	0.2042601943122687
2	1898	Weighted Stack-SVD	0.13791891932487488	40	0.13664685570912688
2	1898	Weighted Stack-SVD	0.13791891932487488	41	0.09560904878687605
2	1898	Weighted Stack-SVD	0.13791891932487488	42	0.2255164795532783
2	1898	Weighted Stack-SVD	0.13791891932487488	43	0.1523189729427897
2	1898	Weighted Stack-SVD	0.13791891932487488	44	0.08946016731167036
2	1898	Weighted Stack-SVD	0.13791891932487488	45	0.17841714543038537
2	1898	Weighted Stack-SVD	0.13791891932487488	46	0.18183957874992593
2	1898	Weighted Stack-SVD	0.13791891932487488	47	0.165101598941396
2	1898	Weighted Stack-SVD	0.13791891932487488	48	0.07111183858677601
2	1898	Weighted Stack-SVD	0.13791891932487488	49	0.1438678792562968
2	1898	Weighted Stack-SVD	0.13791891932487488	50	0.21830215300266717
2	1898	Weighted Stack-SVD	0.13791891932487488	51	0.08403784465122378
2	1898	Weighted Stack-SVD	0.13791891932487488	52	0.2196462716827762
2	1898	Weighted Stack-SVD	0.13791891932487488	53	0.01729820876289108
2	1898	Weighted Stack-SVD	0.13791891932487488	54	0.01553092596329472
2	1898	Weighted Stack-SVD	0.13791891932487488	55	0.1425678997593385
2	1898	Weighted Stack-SVD	0.13791891932487488	56	0.21208965513123484
2	1898	Weighted Stack-SVD	0.13791891932487488	57	0.006080088207875421
2	1898	Weighted Stack-SVD	0.13791891932487488	58	0.16991375249065152
2	1898	Weighted Stack-SVD	0.13791891932487488	59	0.034800371715954265
2	1898	Weighted Stack-SVD	0.13791891932487488	60	0.11797224227004166
2	1898	Weighted Stack-SVD	0.13791891932487488	61	0.17924017632835182
2	1898	Weighted Stack-SVD	0.13791891932487488	62	0.14876410406063637
2	1898	Weighted Stack-SVD	0.13791891932487488	63	0.17307536789066202
2	1898	Weighted Stack-SVD	0.13791891932487488	64	0.1935850513706459
2	1898	Weighted Stack-SVD	0.13791891932487488	65	0.15410443946338842
2	1898	Weighted Stack-SVD	0.13791891932487488	66	0.14924182557753887
2	1898	Weighted Stack-SVD	0.13791891932487488	67	0.19988900986581226
2	1898	Weighted Stack-SVD	0.13791891932487488	68	0.1957275419671105
2	1898	Weighted Stack-SVD	0.13791891932487488	69	0.1379024980624973
2	1898	Weighted Stack-SVD	0.13791891932487488	70	4.539314956433062e-05
2	1898	Weighted Stack-SVD	0.13791891932487488	71	0.12941325999732506
2	1898	Weighted Stack-SVD	0.13791891932487488	72	0.042756721517115896
2	1898	Weighted Stack-SVD	0.13791891932487488	73	0.12231331112639472
2	1898	Weighted Stack-SVD	0.13791891932487488	74	0.18290880976918733
2	1898	Weighted Stack-SVD	0.13791891932487488	75	0.15252815286934923
2	1898	Weighted Stack-SVD	0.13791891932487488	76	0.18014458681645976
2	1898	Weighted Stack-SVD	0.13791891932487488	77	0.029615555881163914
2	1898	Weighted Stack-SVD	0.13791891932487488	78	0.22563645753300465
2	1898	Weighted Stack-SVD	0.13791891932487488	79	0.15070883028587956
2	1898	Weighted Stack-SVD	0.13791891932487488	80	0.007596456684146301
2	1898	Weighted Stack-SVD	0.13791891932487488	81	0.21220415539741774
2	1898	Weighted Stack-SVD	0.13791891932487488	82	0.11936118653504636
2	1898	Weighted Stack-SVD	0.13791891932487488	83	0.09562135912216771
2	1898	Weighted Stack-SVD	0.13791891932487488	84	0.11549090762432093
2	1898	Weighted Stack-SVD	0.13791891932487488	85	0.08633706661223398
2	1898	Weighted Stack-SVD	0.13791891932487488	86	0.2622689677588082
2	1898	Weighted Stack-SVD	0.13791891932487488	87	0.21883222627852164
2	1898	Weighted Stack-SVD	0.13791891932487488	88	0.11667744781688615
2	1898	Weighted Stack-SVD	0.13791891932487488	89	0.24048346574538332
2	1898	Weighted Stack-SVD	0.13791891932487488	90	0.1603856238840777
2	1898	Weighted Stack-SVD	0.13791891932487488	91	0.13838066766075532
2	1898	Weighted Stack-SVD	0.13791891932487488	92	0.22678934974458662
2	1898	Weighted Stack-SVD	0.13791891932487488	93	0.12805752483603225
2	1898	Weighted Stack-SVD	0.13791891932487488	94	0.2206646969530371
2	1898	Weighted Stack-SVD	0.13791891932487488	95	0.17595690266180583
2	1898	Weighted Stack-SVD	0.13791891932487488	96	0.10009120361265493
2	1898	Weighted Stack-SVD	0.13791891932487488	97	0.050991316188570286
2	1898	Weighted Stack-SVD	0.13791891932487488	98	0.03265542580652803
2	1898	Weighted Stack-SVD	0.13791891932487488	99	0.19009745650545756
